ap_id,gu,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb
1154,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,777.3967833
1155,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,498.8680903
1156,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,233.6358776
1157,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,205.4056889
1158,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,118.6464528
1159,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,371.8413745
1160,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,557.7333502
1161,강동구,2017.0,7,공공시설,실내,127.12375,37.530144,151.6488725
1162,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,74.2727637
1163,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,718.212912
1164,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,287.4681071
1165,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,126.6280746
1166,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,881.2328895
1167,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,737.5425332
1168,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,281.4103766
1169,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,1233.1168773
1170,강동구,2017.0,7,공공시설,실외,127.124306,37.52989,51.8548711
1171,강동구,2017.0,7,공공시설,실외,127.124306,37.52989,31.0761279
1172,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,97.0086686
1173,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,532.9825584
1174,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,379.397101
1175,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,732.8044867
1176,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,153.968283
1177,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,286.6468039
1178,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,101.7855412
1179,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,119.6774195
1180,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,369.7071754
1181,강동구,2017.0,7,공공시설,실외,127.124306,37.52989,142.2364127
1182,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,319.2297784
1183,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,57.8700317
1184,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,97.3227673
1185,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,623.734884
1186,강동구,2017.0,7,공공시설,실내,127.124306,37.52989,58.0964905
1187,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,211.8754483
1188,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,360.0714231
1189,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,51.3635236
1190,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,107.15193
1191,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,287.0752817
1192,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,238.6943349
1193,강동구,2017.0,7,공공시설,실내,127.12394,37.530617,147.6019292
1194,강동구,2017.0,7,공공시설,실내,127.12363,37.530453,504.2845192
1195,강동구,2017.0,7,공공시설,실내,127.12363,37.530453,808.448118
1196,강동구,2017.0,7,공공시설,실내,127.12363,37.530453,85.6126882
1197,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,18.7568978
1198,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,106.3637358
1199,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,335.4748436
1200,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,13.1647966
1201,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,16.190768
1202,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,48.5089734
1203,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,9.3195625
1204,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,22.8657734
1205,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,26.3361963
1206,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,34.9930842
1207,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,197.6568156
1208,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,2.928112
1209,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,6.1390595
1210,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,30.8611409
1211,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,6.5639391
1212,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,40.0469327
1213,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,103.0612155
1214,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,10.9483216
1215,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,37.3720384
1216,강동구,2017.0,7,공공시설,실내,127.12635,37.528637,156.6892789
