ap_id,gu,address,install_year,install_type_code,install_type,indoor_outdoor,lon,lat,usage_gb,age_norm,usage_norm,usage_norm_log,density_norm,cluster_k3,cluster_k3_rank
116,도봉구,해등로 71 금호빌라 앞,2020.0,1,주요거리,실외,127.04177,37.64988,26.8539144,0.357142857,0.0301919641,0.348511966,0.0,0,0
117,도봉구,해등로45 창1동 치안센터 앞,2020.0,1,주요거리,실외,127.04347,37.648094,58.6654783,0.357142857,0.0659578629,0.428311378,0.0,0,0
118,도봉구,창동 산144번지 초안산 야생화원 입구,2020.0,3,공원(하천),실외,127.04343,37.64729,30.5977615,0.357142857,0.0344011899,0.361722767,0.0,0,0
119,도봉구,창동 산144번지 초안산 야생화원 안쪽,2020.0,3,공원(하천),실외,127.04357,37.646896,17.3602378,0.357142857,0.0195181765,0.304852002,0.0,0,0
120,도봉구,노해로66길 60 창동레미안 111동 입구,2020.0,1,주요거리,실외,127.04798,37.648563,1109.6357947,0.357142857,1.0,0.734604812,0.0,0,0
121,도봉구,노해로 66길 95 창일초교,2020.0,1,주요거리,실외,127.04864,37.646996,62.9571643,0.357142857,0.0707830268,0.435587577,0.0,0,0
122,도봉구,창1동 산 133번지일대 창림초교 뒤 운동시설 주변,2020.0,3,공원(하천),실외,127.04178,37.644325,30.8925859,0.357142857,0.0347326625,0.362695646,0.0,0,0
123,도봉구,덕릉로315(도봉문화정보도서관 삼거리),2020.0,1,주요거리,실외,127.044395,37.644356,105.1416688,0.357142857,0.118211274,0.488651817,0.0,0,0
124,도봉구,창1동 산 167-1번지일대 주공4단지 내 공원,2020.0,1,주요거리,실외,127.04938,37.645046,41.8850305,0.357142857,0.0470915224,0.393718427,0.0,0,0
125,도봉구,덕릉로 358 녹천지하차도앞 삼거리,2020.0,1,주요거리,실외,127.04897,37.6453,112.5759061,0.357142857,0.126569624,0.495743308,0.0,0,0
126,도봉구,창1동 산 51-3번지일대 중흥S클래스 뒷편(평화방수 주변),2020.0,1,주요거리,실외,127.03956,37.64779,27.055571,0.357142857,0.0304186876,0.34926763,0.0,0,0
127,도봉구,창동 산24번지 초안산근린1,2020.0,1,주요거리,실외,127.03942,37.649036,39.9607076,0.357142857,0.0449279966,0.388909222,0.0,0,0
128,도봉구,노해로 264 프로모터스 맞은편,2020.0,1,주요거리,실외,127.03771,37.65135,105.0693985,0.357142857,0.11813002,0.488580468,0.0,0,0
129,도봉구,마들로 11가길 13-6,2020.0,1,주요거리,실외,127.04971,37.652596,108.0965716,0.357142857,0.121533486,0.49152823,0.0,0,0
130,도봉구,마들로 556 순복음 한성교회앞 삼거리,2020.0,1,주요거리,실외,127.049,37.66065,182.3677806,0.357142857,0.205036974,0.545922766,0.0,0,0
131,도봉구,성화택시 정문 앞(방학725교에서 3번째 한전주),2020.0,3,공원(하천),실외,127.05037,37.66103,198.2079528,0.357142857,0.222846158,0.55460219,0.0,0,0
132,도봉구,마들로16길 20(한성라비앙 앞),2020.0,1,주요거리,실외,127.04809,37.66147,33.347171,0.357142857,0.0374923647,0.370462736,0.0,0,0
133,도봉구,마들로 579-19,2020.0,1,주요거리,실외,127.04488,37.662025,61.030091,0.357142857,0.0686164087,0.432382743,0.0,0,0
134,도봉구,마들로16길 20(한성라비앙 앞),2020.0,1,주요거리,실외,127.047516,37.66164,71.1725135,0.357142857,0.0800195845,0.448246634,0.0,0,0
135,도봉구,노해로 69길 151 청아유치원,2020.0,1,주요거리,실외,127.04975,37.659378,100.3791656,0.357142857,0.112856768,0.483842871,0.0,0,0
136,도봉구,마들로13길 84(아우르네 앞),2020.0,1,주요거리,실외,127.04803,37.654083,150.6610812,0.357142857,0.169388975,0.526035708,0.0,0,0
137,도봉구,"마들로13길 70(농협하나로마트 앞, 환승주차장)",2020.0,1,주요거리,실외,127.049866,37.655415,39.5813021,0.357142857,0.0445014291,0.3879344,0.0,0,0
138,도봉구,노해로69길 25,2020.0,1,주요거리,실외,127.05072,37.653362,123.4274519,0.357142857,0.138770071,0.505302249,0.0,0,0
139,도봉구,노해로 397(하이마트 뒤편 삼거리 도봉경찰서 담벼락),2020.0,1,주요거리,실외,127.0521,37.652946,20.3053191,0.357142857,0.022829346,0.320436175,0.0,0,0
140,도봉구,마들로11길 77 창동역 2번 출구 자전거보관소,2021.0,1,주요거리,실외,127.047,37.652935,75.576243,0.285714286,0.0849707194,0.454450956,0.0,0,0
141,도봉구,노해로 341(창동이마트 사거리),2020.0,1,주요거리,실외,127.046455,37.6514,1586.0106839,0.357142857,1.0,0.771993515,0.0,0,0
142,도봉구,노해로63길 84,2020.0,1,주요거리,실외,127.046555,37.6528,571.0591654,0.357142857,0.642044623,0.665106329,0.0,0,0
143,도봉구,해등로 109 창원초교 한국유통 농축산물 유통센타 맞은편,2020.0,3,공원(하천),실외,127.04099,37.6535,102.3675097,0.357142857,0.115092273,0.485877515,0.0,0,0
144,도봉구,도봉로126길 16 고은머리 앞,2020.0,1,주요거리,실외,127.03826,37.652786,272.2080941,0.357142857,0.306044883,0.587692312,0.0,0,0
145,도봉구,노해로61길 3-3,2020.0,1,주요거리,실외,127.03735,37.65186,7.7010046,0.357142857,0.00865825276,0.226627171,0.0,0,0
146,도봉구,해등로 103 창원초교 정문오른쪽 큰 사거리앞,2020.0,1,주요거리,실외,127.041435,37.65175,116.0846711,0.357142857,0.130514546,0.498930546,0.0,0,0
147,도봉구,도봉로552(도봉구민회관),2020.0,1,주요거리,실외,127.03884,37.654404,150.2589506,0.357142857,0.168936857,0.525757584,0.0,0,0
148,도봉구,해등로 139 미소애 APT 입구 삼거리,2020.0,1,주요거리,실외,127.04069,37.65554,62.1006324,0.357142857,0.0698200237,0.434175206,0.0,0,0
149,도봉구,도봉로 610 국민은행 삼거리,2020.0,1,주요거리,실외,127.0418,37.659027,196.3959804,0.357142857,0.220808949,0.553645001,0.0,0,0
150,도봉구,도봉로140길 14 한신목재 앞,2020.0,1,주요거리,실외,127.042755,37.660923,41.5005064,0.357142857,0.0466592,0.392774926,0.0,0,0
151,도봉구,플로렌스빌 앞 한전주(도봉로 642-16),2020.0,1,주요거리,실외,127.0433,37.66183,72.0479475,0.357142857,0.0810038393,0.449509627,0.0,0,0
152,도봉구,도봉로134길 12-6,2020.0,1,주요거리,실외,127.040565,37.656975,19.4759993,0.357142857,0.0218969376,0.316277098,0.0,0,0
153,도봉구,도당로31길 70,2020.0,1,주요거리,실외,127.04296,37.67045,25.1135464,0.357142857,0.0282352597,0.341753319,0.0,0,0
154,도봉구,도봉로 783,2020.0,1,주요거리,실외,127.04405,37.67448,27.7630417,0.357142857,0.0312141004,0.351876428,0.0,0,0
155,도봉구,도봉로 795-10 세울센스빌,2020.0,1,주요거리,실외,127.04405,37.675503,14.0288381,0.357142857,0.0157726673,0.283878555,0.0,0,0
156,도봉구,도봉로173길 7 무수공원 입구,2020.0,3,공원(하천),실외,127.042885,37.680496,203.9521774,0.357142857,0.229304418,0.55758007,0.0,0,0
157,도봉구,도봉로173다길 1 도봉초교 정문 왼쪽옆 삼거리,2020.0,1,주요거리,실외,127.03815,37.67876,61.7868079,0.357142857,0.0694671893,0.433652923,0.0,0,0
158,도봉구,도봉로169가길 66,2020.0,3,공원(하천),실외,127.04346,37.682877,75.6548973,0.357142857,0.0850591509,0.454558497,0.0,0,0
159,도봉구,도봉로177길 54,2020.0,3,공원(하천),실외,127.04398,37.682762,32.4394783,0.357142857,0.0364718413,0.367657169,0.0,0,0
160,도봉구,도봉로181가길 29 미래마트 앞,2020.0,1,주요거리,실외,127.04521,37.682602,43.1122792,0.357142857,0.0484713242,0.396674095,0.0,0,0
161,도봉구,도봉로 883-10,2020.0,1,주요거리,실외,127.0454,37.683247,85.9116105,0.357142857,0.0965908243,0.467713293,0.0,0,0
162,도봉구,도봉로181길 13,2020.0,1,주요거리,실외,127.04539,37.683872,280.4087422,0.357142857,0.315264913,0.590790351,0.0,0,0
163,도봉구,도봉산4나길 41(새동네마트에서 백운대교회 사잇길),2020.0,1,주요거리,실외,127.04452,37.688652,58.8391651,0.357142857,0.0661531399,0.428615875,0.0,0,0
164,도봉구,서울특별시 도봉구 도봉동 279-14만남의광장앞),2020.0,1,주요거리,실외,127.04542,37.688812,366.2734684,0.357142857,0.41180305,0.61868615,0.0,0,0
