ap_id,gu,install_type_code,lon,lat,age_norm,usage_norm,density_norm,cluster_k3,cluster_k4
5402,중구,7,126.978355,37.56689,0.35714285714285715,0.3272457951459518,0.5634146341463414,0,3
5403,중구,7,126.978355,37.56689,0.35714285714285715,0.3154626119090186,0.5634146341463414,0,3
5404,중구,7,126.978355,37.56689,0.35714285714285715,0.4748380990474564,0.5634146341463414,0,3
5405,중구,7,126.978355,37.56689,0.35714285714285715,0.3521051525102373,0.5634146341463414,0,3
5406,중구,7,126.978355,37.56689,0.35714285714285715,0.08835036143659687,0.5634146341463414,0,3
5407,중구,7,126.978355,37.56689,0.35714285714285715,0.584066376379389,0.5634146341463414,0,3
5408,중구,7,126.978355,37.56689,0.35714285714285715,0.10209251410096107,0.5634146341463414,0,3
5409,중구,7,126.978355,37.56689,0.35714285714285715,0.2548052149784688,0.5634146341463414,0,3
5410,중구,7,126.978355,37.56689,0.35714285714285715,0.14522900651398496,0.5634146341463414,0,3
5411,중구,7,126.978355,37.56689,0.35714285714285715,0.20471001679199993,0.5634146341463414,0,3
5412,중구,7,126.978355,37.56689,0.35714285714285715,0.11538329018827934,0.5634146341463414,0,3
5413,중구,7,126.978355,37.56689,0.35714285714285715,0.38613121551105434,0.5634146341463414,0,3
5414,중구,7,126.978355,37.56689,0.35714285714285715,0.08318281455442778,0.5634146341463414,0,3
5415,중구,7,126.978355,37.56689,0.35714285714285715,0.3028957027608581,0.5634146341463414,0,3
5416,중구,7,126.978355,37.56689,0.35714285714285715,0.09555529476855411,0.5634146341463414,0,3
5417,중구,7,126.978355,37.56689,0.35714285714285715,0.45415254325748244,0.5634146341463414,0,3
5418,중구,7,126.978355,37.56689,0.35714285714285715,0.06499668925866434,0.5634146341463414,0,3
5419,중구,7,126.978355,37.56689,0.35714285714285715,0.20618838313194496,0.5634146341463414,0,3
5420,중구,7,126.978355,37.56689,0.35714285714285715,0.15584688626810791,0.5634146341463414,0,3
5421,중구,7,126.978355,37.56689,0.35714285714285715,0.6957821590715857,0.5634146341463414,1,1
5422,중구,7,126.978355,37.56689,0.35714285714285715,0.40142932879725063,0.5634146341463414,0,3
5423,중구,7,126.978355,37.56689,0.35714285714285715,0.05334790116488374,0.5634146341463414,0,3
5424,중구,7,126.978355,37.56689,0.35714285714285715,0.332769336396339,0.5634146341463414,0,3
5425,중구,7,126.978355,37.56689,0.35714285714285715,0.03891884793327992,0.5634146341463414,0,3
5426,중구,7,126.978355,37.56689,0.35714285714285715,0.15217108879637614,0.5634146341463414,0,3
5427,중구,7,126.978355,37.56689,0.35714285714285715,0.5064526461927683,0.5634146341463414,0,3
5428,중구,7,126.978355,37.56689,0.35714285714285715,0.42179287952673555,0.5634146341463414,0,3
5429,중구,7,126.978355,37.56689,0.35714285714285715,0.29765294841058776,0.5634146341463414,0,3
5430,중구,7,126.978355,37.56689,0.35714285714285715,0.06496213948380933,0.5634146341463414,0,3
5431,중구,7,126.978355,37.56689,0.35714285714285715,0.15374541667501704,0.5634146341463414,0,3
5432,중구,7,126.978355,37.56689,0.35714285714285715,0.1831984080899906,0.5634146341463414,0,3
5433,중구,7,126.978355,37.56689,0.35714285714285715,0.0541888773941055,0.5634146341463414,0,3
5434,중구,4,126.97372,37.563988,0.35714285714285715,0.4076238233847213,0.7536585365853659,0,3
5435,중구,4,126.97372,37.563988,0.35714285714285715,0.03114850958861024,0.7536585365853659,0,3
5436,중구,4,126.97372,37.563988,0.35714285714285715,0.5378571156384285,0.7536585365853659,0,3
5437,중구,4,126.97372,37.563988,0.35714285714285715,0.07884490748364724,0.7536585365853659,0,3
5438,중구,4,126.97372,37.563988,0.35714285714285715,0.1950229086746343,0.7536585365853659,0,3
5439,중구,4,126.97372,37.563988,0.35714285714285715,0.15466251814854015,0.7536585365853659,0,3
5440,중구,4,126.97372,37.563988,0.35714285714285715,0.028599791290443707,0.7536585365853659,0,3
5441,중구,4,126.97372,37.563988,0.35714285714285715,0.020897271724311273,0.7536585365853659,0,3
5442,중구,4,126.97372,37.563988,0.35714285714285715,0.16825706028813536,0.7536585365853659,0,3
5443,중구,4,126.97372,37.563988,0.35714285714285715,0.0478650342141761,0.7536585365853659,0,3
5444,중구,4,126.97372,37.563988,0.35714285714285715,0.07210521944715162,0.7536585365853659,0,3
5445,중구,4,126.97372,37.563988,0.35714285714285715,0.020587821127441456,0.7536585365853659,0,3
5446,중구,4,126.97372,37.563988,0.35714285714285715,0.027990439788661194,0.7536585365853659,0,3
5447,중구,4,126.97372,37.563988,0.35714285714285715,0.10535507735575342,0.7536585365853659,0,3
5448,중구,4,126.97372,37.563988,0.35714285714285715,0.06295668666385573,0.7536585365853659,0,3
5449,중구,4,126.97372,37.563988,0.35714285714285715,0.10382197675297244,0.7536585365853659,0,3
5450,중구,4,126.97372,37.563988,0.35714285714285715,0.07822968524666302,0.7536585365853659,0,3
5451,강북구,3,127.03362,37.639374,0.42857142857142855,0.20183113384363063,0.00975609756097561,2,2
5452,강북구,3,127.02742,37.64486,0.42857142857142855,0.07563925489936721,0.00975609756097561,2,2
5453,강북구,3,127.03335,37.640137,0.42857142857142855,0.03852431568307732,0.02926829268292683,2,2
5454,강북구,3,127.035484,37.63681,0.42857142857142855,0.48405953729015516,0.01707317073170732,1,0
5455,강북구,3,127.04968,37.624454,0.42857142857142855,0.08154254672302375,0.00975609756097561,2,2
5456,강서구,1,126.84634,37.532673,0.14285714285714285,1.0,0.07560975609756097,1,1
5457,구로구,3,126.88969,37.501938,0.35714285714285715,0.6931706836190665,0.04878048780487805,1,1
5458,구로구,3,126.85188,37.505417,0.42857142857142855,0.7221840710709897,0.004878048780487805,1,1
5459,구로구,1,126.892494,37.485794,0.42857142857142855,0.6089148662965854,0.026829268292682926,1,0
5460,구로구,1,126.89841,37.483875,0.42857142857142855,1.0,0.01951219512195122,1,1
5461,노원구,1,127.0624,37.656784,0.42857142857142855,0.25333043216658235,0.0024390243902439024,2,0
5462,도봉구,1,127.01363,37.651535,0.42857142857142855,0.42858732081834994,0.014634146341463415,2,0
5463,동대문구,7,127.03954,37.57444,0.42857142857142855,0.25502734265437815,0.12439024390243902,2,0
5464,동대문구,2,127.03911,37.585213,0.42857142857142855,0.1804917796134737,0.0,2,2
5465,동대문구,2,127.036804,37.578747,0.42857142857142855,0.44565233615415134,0.014634146341463415,1,0
5466,동대문구,1,127.06147,37.59634,0.42857142857142855,1.0,0.0,1,1
5467,동대문구,7,127.029686,37.578667,0.2857142857142857,0.007485638170723212,0.0024390243902439024,2,2
5468,동대문구,7,127.029686,37.578667,0.2857142857142857,0.0343016918198655,0.0024390243902439024,2,2
5469,동대문구,3,127.02396,37.572674,0.42857142857142855,0.14165796357724048,0.02195121951219512,2,2
5470,동대문구,3,127.02455,37.573746,0.42857142857142855,0.0858874821861228,0.01951219512195122,2,2
5471,서대문구,7,126.936516,37.578907,0.2857142857142857,0.033624166611957836,0.07804878048780488,2,2
5472,양천구,3,126.868416,37.50818,0.42857142857142855,0.024597708042107026,0.026829268292682926,2,2
5473,용산구,1,126.96665,37.54406,0.42857142857142855,0.2096802498430706,0.00975609756097561,2,2
5474,용산구,3,126.96233,37.544907,0.42857142857142855,0.3185028095822133,0.007317073170731708,2,0
5475,용산구,3,126.962715,37.545082,0.42857142857142855,0.4703735258251097,0.007317073170731708,1,0
5476,용산구,3,126.96194,37.54671,0.07142857142857142,0.23494877711827153,0.007317073170731708,2,2
5477,용산구,3,126.96233,37.544907,0.42857142857142855,0.5150520747060285,0.007317073170731708,1,0
5478,은평구,1,126.91895,37.63691,0.42857142857142855,0.13338165954953812,0.007317073170731708,2,2
5479,종로구,3,126.99403,37.571224,0.42857142857142855,0.28260198099327366,0.00975609756097561,2,0
5480,중구,1,127.01624,37.564144,0.42857142857142855,0.4359283563774704,0.01951219512195122,1,0
5481,중구,1,127.010315,37.5686,0.42857142857142855,0.04000783375376753,0.007317073170731708,2,2
5482,구로구,3,126.89198,37.499157,0.5,1.0,0.00975609756097561,1,1
5483,동작구,7,126.91695,37.49283,0.35714285714285715,0.020458704117139175,0.06585365853658537,2,2
5484,동작구,7,126.91695,37.49283,0.35714285714285715,0.06309248937244583,0.06585365853658537,2,2
5485,동작구,7,126.91695,37.49283,0.35714285714285715,0.013184477011774831,0.06585365853658537,2,2
5486,동작구,7,126.91695,37.49283,0.35714285714285715,0.01585721353925166,0.06585365853658537,2,2
5487,동작구,7,126.91695,37.49283,0.35714285714285715,0.01610016357274162,0.06585365853658537,2,2
5488,동작구,7,126.91695,37.49283,0.35714285714285715,0.017150140174330152,0.06585365853658537,2,2
5489,동작구,7,126.91695,37.49283,0.35714285714285715,0.07931687018893764,0.06585365853658537,2,2
5490,동작구,7,126.91695,37.49283,0.35714285714285715,0.014345709780964762,0.06585365853658537,2,2
5491,동작구,7,126.91695,37.49283,0.35714285714285715,0.02941990731347491,0.06585365853658537,2,2
5492,동작구,7,126.91695,37.49283,0.35714285714285715,0.05710980426662147,0.06585365853658537,2,2
5493,마포구,7,126.89839,37.563522,0.5,0.0061566482353437035,0.03414634146341464,2,2
5494,마포구,7,126.89839,37.563522,0.5,0.045187139690092255,0.03414634146341464,2,2
5495,마포구,7,126.89839,37.563522,0.5,0.24064154297887277,0.03414634146341464,2,2
5496,마포구,7,126.89839,37.563522,0.5,0.019016727392516038,0.03414634146341464,2,2
5497,마포구,7,126.89839,37.563522,0.5,0.07031666946011639,0.03414634146341464,2,2
5498,마포구,7,126.89839,37.563522,0.5,0.4238299261462706,0.03414634146341464,2,0
5499,마포구,7,126.89839,37.563522,0.5,0.07375533326815058,0.03414634146341464,2,2
5500,마포구,7,126.89839,37.563522,0.5,0.20904192063807606,0.03414634146341464,2,2
5501,송파구,4,127.07592,37.514515,0.35714285714285715,1.0,0.01707317073170732,1,1
5502,송파구,4,127.07592,37.514515,0.35714285714285715,0.018874747596182045,0.01707317073170732,2,2
5503,송파구,4,127.07592,37.514515,0.35714285714285715,0.48502782966496905,0.01707317073170732,1,0
5504,송파구,4,127.07592,37.514515,0.35714285714285715,0.07528899626788628,0.01707317073170732,2,2
5505,송파구,4,127.07592,37.514515,0.35714285714285715,0.0962869415749016,0.01707317073170732,2,2
5506,송파구,4,127.07592,37.514515,0.35714285714285715,1.0,0.01707317073170732,1,1
5507,송파구,4,127.07592,37.514515,0.35714285714285715,0.2062388982107112,0.01707317073170732,2,2
5508,송파구,4,127.07592,37.514515,0.35714285714285715,0.1630201143425858,0.01707317073170732,2,2
5509,중구,7,126.97565,37.564327,0.5,0.9324579561401827,0.7634146341463415,1,1
5510,중구,7,126.97443,37.56373,0.5,0.3554365913986464,0.7560975609756098,0,3
5511,중구,7,126.97443,37.56373,0.5,0.2327744696751596,0.7560975609756098,0,3
5512,중구,7,126.97443,37.56373,0.5,0.26676190936106925,0.7560975609756098,0,3
5513,중구,7,126.97443,37.56373,0.5,0.1185194305612118,0.7560975609756098,0,3
5514,중구,7,126.97443,37.56373,0.5,0.10143734887913154,0.7560975609756098,0,3
5515,중구,7,126.97443,37.56373,0.5,0.07279511395577065,0.7560975609756098,0,3
5516,중구,7,126.97443,37.56373,0.5,0.21675920386402373,0.7560975609756098,0,3
5517,강북구,3,127.01221,37.65362,0.42857142857142855,0.45940050343210553,0.01707317073170732,1,0
5518,강북구,3,127.01218,37.652897,0.42857142857142855,0.36586416975128616,0.012195121951219513,2,0
5519,강북구,3,127.01219,37.652153,0.42857142857142855,0.9939257373800431,0.014634146341463415,1,1
5520,강서구,2,126.81214,37.572014,0.42857142857142855,0.41304172392309746,0.03902439024390244,2,0
5521,강서구,2,126.81214,37.572014,0.42857142857142855,0.398730345009098,0.03902439024390244,2,0
5522,강서구,2,126.8127,37.571087,0.42857142857142855,0.27710430343941944,0.03414634146341464,2,0
5523,강서구,3,126.814095,37.582256,0.14285714285714285,0.3339320698884303,0.00975609756097561,2,0
5524,강서구,2,126.83929,37.53491,0.42857142857142855,0.34085527470338517,0.03170731707317073,2,0
5525,강서구,2,126.84024,37.535282,0.42857142857142855,0.3805086226964429,0.03170731707317073,2,0
5526,노원구,1,127.07263,37.621857,0.42857142857142855,0.04792774332261721,0.007317073170731708,2,2
5527,노원구,1,127.05821,37.64476,0.42857142857142855,0.09875839788181091,0.012195121951219513,2,2
5528,노원구,4,127.06806,37.640293,0.42857142857142855,0.03813974784763188,0.07804878048780488,2,2
5529,노원구,2,127.06997,37.659706,0.42857142857142855,0.3318185796629933,0.012195121951219513,2,0
5530,노원구,2,127.06912,37.66038,0.42857142857142855,0.06083361708160489,0.014634146341463415,2,2
5531,노원구,3,127.061615,37.67454,0.42857142857142855,0.06238377786106741,0.0,2,2
5532,노원구,3,127.06381,37.650707,0.42857142857142855,0.006299877612523123,0.0,2,2
5533,노원구,3,127.07418,37.645027,0.42857142857142855,0.18100844842042219,0.014634146341463415,2,2
5534,노원구,3,127.06842,37.62395,0.42857142857142855,0.13970122341308486,0.004878048780487805,2,2
5535,동대문구,4,127.06871,37.60226,0.2857142857142857,0.36467645586034086,0.004878048780487805,2,0
5536,동대문구,4,127.06871,37.60226,0.2857142857142857,0.017786175116889104,0.004878048780487805,2,2
5537,동대문구,4,127.06871,37.60226,0.2857142857142857,0.02571730868564118,0.004878048780487805,2,2
5538,동대문구,7,127.06575,37.592888,0.2857142857142857,0.0234394015754999,0.0,2,2
5539,마포구,2,126.89871,37.565853,0.42857142857142855,0.7234723562729775,0.01707317073170732,1,1
5540,마포구,2,126.89871,37.565853,0.42857142857142855,0.44544905928687545,0.01707317073170732,1,0
5541,마포구,2,126.89871,37.565853,0.42857142857142855,0.890141321434976,0.01707317073170732,1,1
5542,마포구,2,126.89871,37.565853,0.42857142857142855,0.8060221389839792,0.01707317073170732,1,1
5543,마포구,2,126.89871,37.565853,0.42857142857142855,0.7570396145564179,0.01707317073170732,1,1
5544,마포구,2,126.90622,37.55594,0.42857142857142855,1.0,0.024390243902439025,1,1
5545,마포구,2,126.90622,37.55594,0.42857142857142855,0.40671555113279917,0.024390243902439025,2,0
5546,마포구,2,126.906,37.55661,0.42857142857142855,0.4008530276633317,0.024390243902439025,2,0
5547,마포구,2,126.906,37.55661,0.42857142857142855,0.781672944622193,0.024390243902439025,1,1
5548,서대문구,2,126.922714,37.577435,0.42857142857142855,0.4016567322818398,0.0024390243902439024,2,0
5549,서대문구,1,126.930336,37.567265,0.42857142857142855,0.32947074600013304,0.0,2,0
5550,성북구,3,127.03303,37.605034,0.42857142857142855,0.2830225435721398,0.012195121951219513,2,0
5551,성북구,2,127.06202,37.609707,0.42857142857142855,0.11178275057839557,0.0024390243902439024,2,2
5552,성북구,2,127.06272,37.60979,0.42857142857142855,0.1365715747479431,0.0024390243902439024,2,2
5553,성북구,3,127.01488,37.605114,0.42857142857142855,0.23685212630853106,0.0024390243902439024,2,2
5554,성북구,3,127.02187,37.6081,0.42857142857142855,0.31625749238671763,0.004878048780487805,2,0
5555,성북구,3,127.03737,37.60013,0.42857142857142855,0.9303127227153818,0.0024390243902439024,1,1
5556,성북구,3,127.013664,37.605797,0.42857142857142855,0.3568754932648259,0.0024390243902439024,2,0
5557,양천구,3,126.86483,37.533463,0.42857142857142855,0.05921330637621905,0.01707317073170732,2,2
5558,용산구,1,126.97218,37.543938,0.42857142857142855,0.698280481461036,0.00975609756097561,1,1
5559,용산구,2,126.96045,37.53755,0.42857142857142855,0.40002782962125183,0.007317073170731708,2,0
5560,용산구,2,126.975426,37.520924,0.42857142857142855,0.25803934792983196,0.004878048780487805,2,0
5561,용산구,2,126.9772,37.550262,0.42857142857142855,0.28092695791280936,0.007317073170731708,2,0
5562,강북구,4,127.04436,37.620197,0.35714285714285715,0.02349001708028352,0.01951219512195122,2,2
5563,강북구,4,127.04436,37.620197,0.35714285714285715,0.014949429466074816,0.01951219512195122,2,2
5564,강북구,4,127.04436,37.620197,0.35714285714285715,0.016244158027795726,0.01951219512195122,2,2
5565,강북구,4,127.04436,37.620197,0.35714285714285715,0.05006428620074553,0.01951219512195122,2,2
5566,강북구,4,127.04436,37.620197,0.35714285714285715,0.0226396576817615,0.01951219512195122,2,2
5567,강북구,4,127.04436,37.620197,0.35714285714285715,0.033427675741581106,0.01951219512195122,2,2
5568,강북구,4,127.04436,37.620197,0.35714285714285715,0.5985018928848737,0.01951219512195122,1,0
5569,강북구,4,127.04436,37.620197,0.35714285714285715,0.17848623831598207,0.01951219512195122,2,2
5570,강북구,4,127.04436,37.620197,0.35714285714285715,0.41990919415068145,0.01951219512195122,2,0
5571,광진구,7,127.07718,37.551456,0.35714285714285715,0.11758750193462739,0.02195121951219512,2,2
5572,광진구,7,127.07718,37.551456,0.35714285714285715,0.10471469015770993,0.02195121951219512,2,2
5573,광진구,7,127.07718,37.551456,0.35714285714285715,0.17527298922708362,0.02195121951219512,2,2
5574,광진구,7,127.07718,37.551456,0.35714285714285715,0.05620400153370802,0.02195121951219512,2,2
5575,광진구,7,127.07718,37.551456,0.35714285714285715,0.0868431860299498,0.02195121951219512,2,2
5576,광진구,7,127.07718,37.551456,0.35714285714285715,0.043596767653306855,0.02195121951219512,2,2
5577,광진구,7,127.07718,37.551456,0.35714285714285715,0.07213528699514656,0.02195121951219512,2,2
5578,광진구,7,127.07718,37.551456,0.35714285714285715,0.08575284349838999,0.02195121951219512,2,2
5579,광진구,7,127.07718,37.551456,0.35714285714285715,0.1796713073430793,0.02195121951219512,2,2
5580,광진구,7,127.07718,37.551456,0.35714285714285715,0.13296617607622657,0.02195121951219512,2,2
5581,동대문구,7,127.024574,37.57281,0.35714285714285715,0.17335440501767133,0.02195121951219512,2,2
5582,동대문구,7,127.024574,37.57281,0.35714285714285715,0.37451397992596414,0.02195121951219512,2,0
5583,동대문구,7,127.024574,37.57281,0.35714285714285715,0.25900871735099257,0.02195121951219512,2,0
5584,동대문구,7,127.024574,37.57281,0.35714285714285715,0.27025617174606925,0.02195121951219512,2,0
5585,동대문구,7,127.024574,37.57281,0.35714285714285715,0.6823817208452801,0.02195121951219512,1,1
5586,동대문구,7,127.024574,37.57281,0.35714285714285715,0.22931449988722938,0.02195121951219512,2,2
5587,동대문구,7,127.024574,37.57281,0.35714285714285715,0.045257565892458065,0.02195121951219512,2,2
5588,서초구,7,127.022,37.479507,0.35714285714285715,0.02282655048016549,0.06829268292682927,2,2
5589,서초구,7,127.022,37.479507,0.35714285714285715,0.011492910302652943,0.06829268292682927,2,2
5590,서초구,7,127.01931,37.4795,0.35714285714285715,0.04459934991897731,0.06829268292682927,2,2
5591,은평구,7,126.90455,37.60407,0.35714285714285715,0.15616177529617,0.16585365853658537,2,2
5592,은평구,7,126.90455,37.60407,0.35714285714285715,0.1707632382864515,0.16585365853658537,2,2
5593,은평구,7,126.905,37.603466,0.35714285714285715,0.2570503508451617,0.17073170731707318,2,0
5594,은평구,7,126.905,37.603466,0.35714285714285715,0.09998583175398851,0.17073170731707318,2,2
5595,은평구,7,126.90455,37.60407,0.35714285714285715,0.13628964036678975,0.16585365853658537,2,2
5596,은평구,7,126.90455,37.60407,0.35714285714285715,0.29402129672485405,0.16585365853658537,2,0
5597,은평구,7,126.90455,37.60407,0.35714285714285715,0.5272473551166394,0.16585365853658537,1,0
5598,은평구,7,126.90418,37.604862,0.35714285714285715,0.31837962702203354,0.18536585365853658,2,0
5599,은평구,7,126.90455,37.60407,0.35714285714285715,1.0,0.16585365853658537,1,1
5600,은평구,7,126.905,37.603466,0.35714285714285715,0.5937680036292249,0.17073170731707318,1,0
5601,은평구,7,126.905,37.603466,0.35714285714285715,0.24615061944991956,0.17073170731707318,2,0
5602,은평구,7,126.92379,37.593876,0.35714285714285715,0.021211387958921274,0.11219512195121951,2,2
